Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
105,27,8,32,9,Some Random Commen with Id 105
106,28,7,30,4,Some Random Commen with Id 106
107,28,7,178,8,Some Random Commen with Id 107
108,28,7,118,4,Some Random Commen with Id 108
109,29,6,98,4,Some Random Commen with Id 109
110,29,6,196,6,Some Random Commen with Id 110
111,30,4,111,2,Some Random Commen with Id 111
112,30,4,117,4,Some Random Commen with Id 112
113,30,4,108,9,Some Random Commen with Id 113
114,30,4,178,5,Some Random Commen with Id 114
115,30,4,154,0,Some Random Commen with Id 115
116,30,4,157,0,Some Random Commen with Id 116
117,30,4,156,6,Some Random Commen with Id 117
118,30,4,110,0,Some Random Commen with Id 118
119,30,4,196,2,Some Random Commen with Id 119
120,31,3,11,4,Some Random Commen with Id 120
121,31,3,61,2,Some Random Commen with Id 121
122,32,2,168,1,Some Random Commen with Id 122
123,32,2,131,9,Some Random Commen with Id 123
124,32,2,27,6,Some Random Commen with Id 124
125,33,5,88,3,Some Random Commen with Id 125
126,33,5,197,0,Some Random Commen with Id 126
127,33,5,126,9,Some Random Commen with Id 127
128,33,5,153,0,Some Random Commen with Id 128
129,33,5,145,3,Some Random Commen with Id 129
130,33,5,55,8,Some Random Commen with Id 130
131,33,5,91,7,Some Random Commen with Id 131
132,33,5,67,8,Some Random Commen with Id 132
133,34,4,30,3,Some Random Commen with Id 133
134,34,4,29,5,Some Random Commen with Id 134
135,35,1,51,0,Some Random Commen with Id 135
136,35,1,3,8,Some Random Commen with Id 136
137,35,1,54,4,Some Random Commen with Id 137
138,35,1,190,4,Some Random Commen with Id 138
139,35,1,137,2,Some Random Commen with Id 139
140,35,1,26,6,Some Random Commen with Id 140
141,35,1,44,6,Some Random Commen with Id 141
142,35,1,52,7,Some Random Commen with Id 142
143,36,9,158,9,Some Random Commen with Id 143
144,36,9,101,0,Some Random Commen with Id 144
145,36,9,102,2,Some Random Commen with Id 145
146,37,8,102,9,Some Random Commen with Id 146
147,38,6,197,0,Some Random Commen with Id 147
148,38,6,143,9,Some Random Commen with Id 148
149,38,6,83,2,Some Random Commen with Id 149
150,38,6,135,9,Some Random Commen with Id 150
151,38,6,9,6,Some Random Commen with Id 151
152,38,6,100,1,Some Random Commen with Id 152
153,38,6,159,3,Some Random Commen with Id 153
154,38,6,177,1,Some Random Commen with Id 154
155,39,7,59,1,Some Random Commen with Id 155
156,39,7,142,6,Some Random Commen with Id 156
157,39,7,62,3,Some Random Commen with Id 157
158,39,7,115,8,Some Random Commen with Id 158
159,39,7,140,9,Some Random Commen with Id 159
160,39,7,168,6,Some Random Commen with Id 160
161,39,7,16,1,Some Random Commen with Id 161
